ID POP GROUP SEX
HG00130 GBR EUR female
HG00141 GBR EUR male
HG00253 GBR EUR female
HG00259 GBR EUR female
HG00138 GBR EUR male
HG00126 GBR EUR male
HG00238 GBR EUR female
HG00142 GBR EUR male
HG00151 GBR EUR male
HG01789 GBR EUR male
HG00109 GBR EUR male
HG00258 GBR EUR female
HG00160 GBR EUR male
HG00127 GBR EUR female
HG00233 GBR EUR female
HG00120 GBR EUR female
HG00250 GBR EUR female
HG00146 GBR EUR female
HG00264 GBR EUR male
HG00246 GBR EUR male
NA18969 JPT EAS female
NA19084 JPT EAS female
NA18985 JPT EAS male
NA18968 JPT EAS female
NA18971 JPT EAS male
NA18997 JPT EAS female
NA19068 JPT EAS male
NA18964 JPT EAS female
NA18999 JPT EAS female
NA19003 JPT EAS female
NA19067 JPT EAS male
NA18966 JPT EAS male
NA18940 JPT EAS male
NA19009 JPT EAS male
NA19056 JPT EAS male
NA18987 JPT EAS female
NA18974 JPT EAS male
NA18960 JPT EAS male
NA19058 JPT EAS male
NA18965 JPT EAS male
NA18516 YRI AFR male
NA18908 YRI AFR male
NA19207 YRI AFR male
NA18488 YRI AFR female
NA18868 YRI AFR male
NA18858 YRI AFR female
NA19119 YRI AFR male
NA19121 YRI AFR male
NA19225 YRI AFR female
NA19238 YRI AFR female
NA19118 YRI AFR female
NA19146 YRI AFR male
NA18853 YRI AFR male
NA19149 YRI AFR female
NA19257 YRI AFR female
NA18923 YRI AFR male
NA19130 YRI AFR male
NA19141 YRI AFR male
NA18877 YRI AFR male
NA18519 YRI AFR male
